src,dst,proto,size,sport,dport
52.109.20.38,10.1.17.215,6,92,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,52.109.20.38,6,187,50100.0,443.0
10.1.17.215,52.109.20.38,6,92,50100.0,443.0
10.1.17.215,10.1.17.2,17,72,53533.0,53.0
204.79.197.203,10.1.17.215,6,60,443.0,50101.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
204.79.197.203,10.1.17.215,6,123,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,134,50101.0,443.0
10.1.17.215,204.79.197.203,6,134,50101.0,443.0
10.1.17.215,204.79.197.203,6,430,50101.0,443.0
52.109.20.38,10.1.17.215,6,60,443.0,50100.0
10.1.17.2,10.1.17.215,17,337,53.0,53533.0
10.1.17.215,23.205.110.137,6,66,50102.0,443.0
204.79.197.203,10.1.17.215,6,60,443.0,50101.0
23.205.110.137,10.1.17.215,6,66,443.0,50102.0
204.79.197.203,10.1.17.215,6,60,443.0,50101.0
204.79.197.203,10.1.17.215,6,60,443.0,50101.0
204.79.197.203,10.1.17.215,6,513,443.0,50101.0
204.79.197.203,10.1.17.215,6,116,443.0,50101.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,85,50101.0,443.0
10.1.17.215,23.205.110.137,6,505,50102.0,443.0
52.109.20.38,10.1.17.215,6,909,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
52.109.20.38,10.1.17.215,6,300,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,10.1.17.2,17,83,53533.0,53.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
204.79.197.203,10.1.17.215,6,707,443.0,50101.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
204.79.197.203,10.1.17.215,6,1429,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
204.79.197.203,10.1.17.215,6,1430,443.0,50101.0
204.79.197.203,10.1.17.215,6,154,443.0,50101.0
204.79.197.203,10.1.17.215,6,85,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
23.205.110.137,10.1.17.215,6,1430,443.0,50102.0
